,movie_link,movie_id,review_date,critic_publication,critic_icon,critic_top,critic_score,review_content
0,https://www.rottentomatoes.com/m/the_hunger,/m/13123,07/05/2019,Father Son Holy Gore,fresh,,4.5/5,"With style and a proper helping of eroticism and blood, The Hunger gnashes its way by the teeth into that upper echelon, the pantheon of great vampire movies."
1,https://www.rottentomatoes.com/m/the_hunger,/m/13123,19/02/2019,Alexander On Film,fresh,,,"We know that the hunger of the title isn’t just a hunger for blood, it’s a hunger to hold on to life, to love, to all of those moments that make us what we are, in that brief period of our lives that we shine, when we are at our best."
2,https://www.rottentomatoes.com/m/the_hunger,/m/13123,26/09/2016,Butaca Ancha,fresh,,,"A film with legendary cast and photograph. Underestimated at the time, but like any other cult movies, was able to find its audience. [Full review in Spanish]"
3,https://www.rottentomatoes.com/m/the_hunger,/m/13123,24/06/2013,Antagony & Ecstasy,fresh,,8/10,"As good a horror film in the most pure, rarefied sense of ""horror"" that the '80s produced in English."
4,https://www.rottentomatoes.com/m/the_hunger,/m/13123,14/05/2013,Mania.com,fresh,,B,"Vampire movies were always cool, but it took The Hunger to make them modern."
5,https://www.rottentomatoes.com/m/the_hunger,/m/13123,08/03/2011,Common Sense Media,rotten,,2/5,"Bloody lesbian-vampire story is stylish, but no Twilight."
6,https://www.rottentomatoes.com/m/the_hunger,/m/13123,07/04/2009,PopMatters,fresh,,9/10,"The focus of Hunger is emphatically the death of Bobby Sands, specifically, what happens to his body, viewed from a tragic outside and, to an imaginative extent, a determined inside."
7,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/11/2008,Austin Chronicle,rotten,,,"More style than substance, and perhaps simply an excuse to get Denueve and Susan Sarandon, Miriam's post-Bowie love, in bed together."
8,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/11/2008,TV Guide,rotten,,2.5/4,"A slick, largely empty visual exercise with vague thematic overtones about a clash between American and European culture."
9,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/11/2008,Variety,fresh,Top Critic,,"In his feature debut, director Tony Scott, brother of Ridley, exhibits the same penchant for eleborate art direction, minimal, humorless dialog and shooting in smoky rooms."
10,https://www.rottentomatoes.com/m/the_hunger,/m/13123,04/11/2007,ColeSmithey.com,fresh,,4/5,Deneuve and Sarandon are something else.
11,https://www.rottentomatoes.com/m/the_hunger,/m/13123,24/06/2006,Time Out,fresh,Top Critic,,"Visual sensualities will have a feast, but you'll have to read Whitley Strieber's novel if you don't want to emerge with a badly scratched head."
12,https://www.rottentomatoes.com/m/the_hunger,/m/13123,04/11/2005,Boulder Weekly,rotten,,2/5,
13,https://www.rottentomatoes.com/m/the_hunger,/m/13123,21/10/2005,Fantastica Daily,rotten,,2/5,
14,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/12/2004,EmanuelLevy.Com,fresh,,4/5,
15,https://www.rottentomatoes.com/m/the_hunger,/m/13123,16/12/2004,Reno Gazette-Journal,rotten,,D-,Nearly unwatchable lesbian vampire flick.
16,https://www.rottentomatoes.com/m/the_hunger,/m/13123,23/10/2004,Chicago Sun-Times,rotten,Top Critic,1.5/4,"The Hunger is an agonizingly bad vampire movie, circling around an exquisitely effective sex scene. Sorry, but that's the way it is, and your reporter has to be honest."
17,https://www.rottentomatoes.com/m/the_hunger,/m/13123,12/10/2004,Slant Magazine,rotten,,2/4,"In The Hunger, like in that ludicrous advertisement for Britney Spears's Curious perfume, sexual desire simply provokes postmodern psychotropic episodes."
18,https://www.rottentomatoes.com/m/the_hunger,/m/13123,30/08/2004,New York Times,fresh,Top Critic,3.5/5,"The movie reeks with chic, but never, for one minute, takes itself too seriously, nor does it ever slop over into camp."
19,https://www.rottentomatoes.com/m/the_hunger,/m/13123,20/08/2004,Spirituality and Practice,rotten,,2/5,Style over substance in this vampire drama.
20,https://www.rottentomatoes.com/m/the_hunger,/m/13123,02/07/2004,"F5 (Wichita, KS)",fresh,,3/5,
21,https://www.rottentomatoes.com/m/the_hunger,/m/13123,30/03/2004,Film4,rotten,,,"Director Scott spends more time on the visuals than plot and character development, so don't expect to understand much, but do enjoy the luxurious interior decor and eye-candy sunsets."
22,https://www.rottentomatoes.com/m/the_hunger,/m/13123,21/01/2004,New Times,fresh,,4/5,"One scene, any scene, renders Hot Topic wannabes irrelevant."
23,https://www.rottentomatoes.com/m/the_hunger,/m/13123,19/03/2003,"Mountain Xpress (Asheville, NC)",fresh,,3/5,"Slick, but superficial vampire flick that finally collapses on itself."
24,https://www.rottentomatoes.com/m/the_hunger,/m/13123,30/01/2003,"The Coast (Halifax, Nova Scotia)",rotten,,2/5,
25,https://www.rottentomatoes.com/m/the_hunger,/m/13123,24/01/2003,Arkansas Democrat-Gazette,fresh,,4/5,
26,https://www.rottentomatoes.com/m/the_hunger,/m/13123,26/09/2002,Filmcritic.com,rotten,,3/5,Tepid vampire fare is really notable only for being Tony Scott's first major movie and for its steamy love scene between Catherine Deneuve and Susan Sarandon.
27,https://www.rottentomatoes.com/m/the_hunger,/m/13123,29/07/2002,Kalamazoo Gazette,fresh,,3/5,"""influential Goth/lesbian/vampire love story"""
28,https://www.rottentomatoes.com/m/the_hunger,/m/13123,26/07/2002,eFilmCritic.com,rotten,,2/5,"Half silly, half sexy. And mostly boring."
29,https://www.rottentomatoes.com/m/the_hunger,/m/13123,01/01/2000,Chicago Reader,rotten,Top Critic,,"The obsessive conjunction of lesbian sex and flowing blood suggests a deep-seated misogyny, but neither this nor any other theme is registered with enough clarity to offend."
30,https://www.rottentomatoes.com/m/the_hunger,/m/13123,01/01/2000,Ozus' World Movie Reviews,rotten,,C,The Hunger left me craving for a more filling movie.
31,https://www.rottentomatoes.com/m/quick_change,/m/136191729,18/09/2017,Ozus' World Movie Reviews,fresh,,B,"A funny, quirky and engaging very NYC dark comedy."
32,https://www.rottentomatoes.com/m/quick_change,/m/136191729,15/07/2016,Flavorwire,fresh,,,"Plenty of '80s comedies would've just ridden the clown-robbing-a-bank premise for 90 minutes. Instead, 'Quick Change' tosses off its twist twenty minutes in, discovering that the real achievement is not knocking off a bank, but getting out of New York."
33,https://www.rottentomatoes.com/m/quick_change,/m/136191729,29/12/2015,eFilmCritic.com,fresh,,5/5,"Smarter, even more literate, than it needs to be."
34,https://www.rottentomatoes.com/m/quick_change,/m/136191729,16/07/2015,House Next Door,fresh,,,Quick Change requires a leap of faith from the audience.
35,https://www.rottentomatoes.com/m/quick_change,/m/136191729,07/09/2011,Entertainment Weekly,rotten,Top Critic,C+,
36,https://www.rottentomatoes.com/m/quick_change,/m/136191729,16/07/2010,BrianOrndorf.com,fresh,,A-,"Easily a top-five career highlight for Bill Murray, Quick Change is a comedy jewel, squeezing a rare amount of mileage out of its fickle star, who appears atypically invested in the picture's mechanics."
37,https://www.rottentomatoes.com/m/quick_change,/m/136191729,18/10/2008,Newsweek,fresh,Top Critic,,"The movie has a comfy, lived-in feel; it doesn't beat you over the head for laughs, or take its horrors-of-New York theme too seriously. Smile and enjoy."
38,https://www.rottentomatoes.com/m/quick_change,/m/136191729,05/10/2008,TIME Magazine,rotten,Top Critic,,"[Murray's] glancing, genial sarcasm buoys the action for the first half-hour. Then this caper comedy sinks into a puddle of urban rancor."
39,https://www.rottentomatoes.com/m/quick_change,/m/136191729,05/10/2008,TV Guide,fresh,,3/4,"After piquing our curiosity, Murray and Franklin skillfully let us in on the scheme and slowly reveal the nature of the three characters at the center of it."
40,https://www.rottentomatoes.com/m/quick_change,/m/136191729,05/10/2008,Variety,fresh,Top Critic,,"Neither ambitious nor particularly memorable, but it's brought off with a sly flair that makes it most enjoyable."
41,https://www.rottentomatoes.com/m/quick_change,/m/136191729,05/10/2008,Film4,fresh,,,"From the opening scenes with Murray dressed as a clown for the robbery and playing his cynical, wise-cracking card to great effect, to the trio pitting themselves against the whims of New York City, this is breathtaking and inventive stuff."
42,https://www.rottentomatoes.com/m/quick_change,/m/136191729,21/12/2006,Dispatch-Tribune Newspapers,fresh,,3/5,"Funny fluff featuring clowns, a bank robbery, and Bill Murray."
43,https://www.rottentomatoes.com/m/quick_change,/m/136191729,24/06/2006,Time Out,fresh,Top Critic,,"Not likely to set the world alight, but a neat and engaging little comedy of bad manners."
44,https://www.rottentomatoes.com/m/quick_change,/m/136191729,23/02/2006,Combustible Celluloid,fresh,,,"Inventively sinister, endlessly hilarious dark comedy."
45,https://www.rottentomatoes.com/m/quick_change,/m/136191729,22/08/2005,Film Freak Central,fresh,,3/5,
46,https://www.rottentomatoes.com/m/quick_change,/m/136191729,08/08/2005,"The Coast (Halifax, Nova Scotia)",fresh,,4/5,
47,https://www.rottentomatoes.com/m/quick_change,/m/136191729,25/06/2005,EmanuelLevy.Com,rotten,,2/5,
48,https://www.rottentomatoes.com/m/quick_change,/m/136191729,30/08/2004,New York Times,rotten,Top Critic,,There is not much in Quick Change that hasn't been anticipated by Neil Simon and beaten to death by countless imitators. Mr. Murray's film is at the worn-out end of this bloodline.
49,https://www.rottentomatoes.com/m/quick_change,/m/136191729,08/04/2004,Lowell Sun,fresh,,4/5,
50,https://www.rottentomatoes.com/m/quick_change,/m/136191729,19/03/2004,"F5 (Wichita, KS)",fresh,,3/5,
51,https://www.rottentomatoes.com/m/quick_change,/m/136191729,22/08/2003,Las Vegas Review-Journal,fresh,,4/5,
52,https://www.rottentomatoes.com/m/quick_change,/m/136191729,20/03/2003,eFilmCritic.com,fresh,,3/5,"Amusing comedy with a great, subdued performance by Murray. Runs out of steam too soon, though."
53,https://www.rottentomatoes.com/m/quick_change,/m/136191729,11/12/2002,Billings Outpost (Montana),fresh,,4/5,
54,https://www.rottentomatoes.com/m/quick_change,/m/136191729,02/12/2002,Bryant Frazer's Deep Focus,fresh,,3/5,
55,https://www.rottentomatoes.com/m/quick_change,/m/136191729,08/08/2002,Urban Tulsa Weekly,fresh,,3/5,
56,https://www.rottentomatoes.com/m/quick_change,/m/136191729,26/07/2002,eFilmCritic.com,fresh,,4/5,
57,https://www.rottentomatoes.com/m/quick_change,/m/136191729,12/05/2001,Rolling Stone,rotten,Top Critic,,Bill Murray dresses up as a clown to take hostages and rob a New York bank. Funny? Guess again.
58,https://www.rottentomatoes.com/m/quick_change,/m/136191729,01/01/2000,rec.arts.movies.reviews,fresh,,+1,"By blurring the foreground characters and focusing on the background, New York City becomes the real main character of the film until the script falters near the end and Murray once again reclaims the audience's attention."
59,https://www.rottentomatoes.com/m/quick_change,/m/136191729,01/01/2000,Washington Post,fresh,Top Critic,,"Despite the fact that Change lags and lopes along toward an inevitable, trite conclusion, it also leaves itself wide open for funny moments."
60,https://www.rottentomatoes.com/m/quick_change,/m/136191729,01/01/2000,Washington Post,fresh,Top Critic,,"A randomly, raggedly funny look at the personal cost of being one with the hustling, clamorous crowd."
61,https://www.rottentomatoes.com/m/quick_change,/m/136191729,01/01/2000,Deseret News (Salt Lake City),fresh,,3/4,A delightful romp that generously allows the unknowns who dot the large supporting cast to garner the biggest laughs.
62,https://www.rottentomatoes.com/m/quick_change,/m/136191729,01/01/2000,Chicago Sun-Times,fresh,Top Critic,3/4,At least something works often enough that the movie announces Bill Murray is back and is funny again.
63,https://www.rottentomatoes.com/m/quick_change,/m/136191729,13/07/1990,Entertainment Weekly,rotten,Top Critic,C+,
64,https://www.rottentomatoes.com/m/cars_3,/m/771432063,05/02/2020,Planet S Magazine,fresh,,3/5,"Cars 3 offers a rare twist ending for a Pixar movie, one I failed to see coming. I guess old cars can learn new tricks."
65,https://www.rottentomatoes.com/m/cars_3,/m/771432063,04/02/2020,Raising Whasians,fresh,,,"Kids and parents alike will find lots of great messages about following dreams, goals, roots, and wings."
66,https://www.rottentomatoes.com/m/cars_3,/m/771432063,24/01/2020,Sarah's Backstage Pass,fresh,,3/4,Fans of the franchise will be relieved...
67,https://www.rottentomatoes.com/m/cars_3,/m/771432063,11/01/2020,Punch Drunk Critics,fresh,,4/5,"Overall I really like Cars 3 a ton. It has a lot of heart and deals with age, sports and even women in athletics, especially racing very well. I think it's a solid release and hopefully families really enjoy it."
68,https://www.rottentomatoes.com/m/cars_3,/m/771432063,06/08/2019,FlickDirect,fresh,,3/5,"Better than the second film but not as good as the first, Cars 3 is still an uplifting story that will probably resonate with little kids."
69,https://www.rottentomatoes.com/m/cars_3,/m/771432063,05/08/2019,Boulder Weekly,fresh,,,Tackling the generational divide.
70,https://www.rottentomatoes.com/m/cars_3,/m/771432063,20/06/2019,Film Frenzy,rotten,,2.5/4,"Resolutely sweet-natured and marked by some compelling visuals, Cars 3 is still the weakest of the trio."
71,https://www.rottentomatoes.com/m/cars_3,/m/771432063,04/06/2019,"The Dispatch (Lexington, NC)",fresh,,2.5/4,"Short and sweet, but it feels strangely inconsequential."
72,https://www.rottentomatoes.com/m/cars_3,/m/771432063,21/05/2019,Bleeding Cool,rotten,,5.5/10,It has a great ending with a killer message but the entire thing doesn't quite fit together. There are problems that can't be overlooked.
73,https://www.rottentomatoes.com/m/cars_3,/m/771432063,24/04/2019,Screen Junkies,rotten,,,I don't think this is a movie you have to see in the theater unless you have a strong attachment to this franchise.
74,https://www.rottentomatoes.com/m/cars_3,/m/771432063,21/03/2019,The Express Tribune (Pakistan),fresh,,3/5,"There are plenty of cute moments and spectacular visuals and lots more merchandising opportunities, but there are also parts that aren't quite convincing."
75,https://www.rottentomatoes.com/m/cars_3,/m/771432063,09/03/2019,The Sun Daily (Malaysia),fresh,,,"Sadly, it still lacks the heart of the first movie, which had an ending that left a lump in your throat. Nonetheless, it is still fun, and should please fans of the series."
76,https://www.rottentomatoes.com/m/cars_3,/m/771432063,01/03/2019,One Room With A View,fresh,,3/5,"It's B-grade Pixar; it may be imbued with topical themes, yet individual moments shine brighter than the faltering whole."
77,https://www.rottentomatoes.com/m/cars_3,/m/771432063,21/02/2019,Rachel's Reviews (YouTube),fresh,,7/10,If you already like the franchise then you will like it.
78,https://www.rottentomatoes.com/m/cars_3,/m/771432063,12/02/2019,The Maine Edge,fresh,,4/5,"No, Cars 3 isn't particularly sophisticated, no film featuring Larry the Cable Guy ever could be, but it is sweet and fun."
79,https://www.rottentomatoes.com/m/cars_3,/m/771432063,30/01/2019,The Jam Report,fresh,,3/5,Cars 3 can't match the ingenious originality of many of its fellow Pixar classmates but still manages to deliver enjoyable kid-friendly entertainment and a more emotionally mature experience than the two films preceding it.
80,https://www.rottentomatoes.com/m/cars_3,/m/771432063,20/12/2018,Screen Zealots,fresh,,3/5,"If you're looking for the usual fluffy crowd pleaser from Pixar, this isn't it."
81,https://www.rottentomatoes.com/m/cars_3,/m/771432063,08/12/2018,Colbybryant.com,fresh,,6.5/10,"An existential crisis ... when someone only knows one thing and the world takes that away ... , what do they do next? That sounds like a great film, and Cars 3 mostly is."
82,https://www.rottentomatoes.com/m/cars_3,/m/771432063,11/11/2018,Alternative Lens,fresh,,6.5/10,"The story and characters are fairly stock and predictable, but the new flairs it adds are much welcomed and give its final moments something approaching brilliant."
83,https://www.rottentomatoes.com/m/cars_3,/m/771432063,09/11/2018,Substream Magazine,fresh,,3/5,"As a return to form the film succeeds admirably; it's just that the original form was too shallow to support further installments. Cars 3 outstripped its predecessor by many laps, but it was hampered by a slow story with a predictable end..."
84,https://www.rottentomatoes.com/m/cars_3,/m/771432063,04/11/2018,Geek,fresh,,2.5,Probably the best of the Cars movies.
85,https://www.rottentomatoes.com/m/cars_3,/m/771432063,03/11/2018,F This Movie!,rotten,,2.5/5,Feels a little like Pixar pondering its own legacy.
86,https://www.rottentomatoes.com/m/cars_3,/m/771432063,31/10/2018,FanboyNation.com,fresh,,3.5/5,A pure Pixar delight.
87,https://www.rottentomatoes.com/m/cars_3,/m/771432063,30/10/2018,Insider,fresh,,B-,"""Cars 3""... is no ""Wall-E"" or ""Up,"" but it's not ""The Good Dinosaur"" either. Pixar delivers a pretty straight-forward, predictable, and safe followup that brings the franchise back to its racing roots."
88,https://www.rottentomatoes.com/m/cars_3,/m/771432063,16/10/2018,Schmoes Know,fresh,,3.2/5,"The story was a little more derivative than I would've wanted for a Pixar movie, but I found so much of the scenery and car chases to be thrilling...I still enjoyed enough of Cars 3."
89,https://www.rottentomatoes.com/m/cars_3,/m/771432063,16/10/2018,Schmoes Know,rotten,,2.5/5,"So unoriginal, and it's dull, but I don't disagree with the visuals..."
90,https://www.rottentomatoes.com/m/cars_3,/m/771432063,10/10/2018,InSession Film,fresh,,A-,Imagine the shock when McQueen ends his third run with a blazing podium finish.
91,https://www.rottentomatoes.com/m/cars_3,/m/771432063,30/08/2018,Rendy Reviews,fresh,,3.5/5,A marginal improvement over its predecessor for the charm and heart that is both poignant and mature.
92,https://www.rottentomatoes.com/m/cars_3,/m/771432063,24/08/2018,Gwinnett Daily Post (GA),fresh,,3/4,"Like McQueen, ""Cars 3"" surprises with some race maneuvers it hasn't needed to use before and shows that there's plenty of heart left under the hood at Pixar, sequel or no."
93,https://www.rottentomatoes.com/m/cars_3,/m/771432063,22/08/2018,"Daily Journal (Kankakee, IL)",rotten,,2/4,"What ""Cars 3"" needs is cutting. It seems to have taken the long way home with too many dull pit stops along the way."
94,https://www.rottentomatoes.com/m/cars_3,/m/771432063,13/06/2018,Black Nerd Problems,fresh,,,"Cars 3 is The Fast and furious back when it was strictly about being fast and furious, please believe me."
95,https://www.rottentomatoes.com/m/cars_3,/m/771432063,03/05/2018,Jamaica Gleaner,fresh,,,"The decency of the first film was undercut by the second film's inadequacy. This film, however, builds upon the best elements of the series, providing perhaps the most heartfelt of the trilogy."
96,https://www.rottentomatoes.com/m/cars_3,/m/771432063,10/04/2018,Rappler,rotten,,,"It is a hodgepodge of inspirational films and in all its earnest effort to be simply pleasant, it forgets to be thoroughly enjoyable."
97,https://www.rottentomatoes.com/m/cars_3,/m/771432063,10/04/2018,The Herald (Scotland),fresh,,3/5,"It's the usual stuff in praise of teamwork and good guys finishing first, but it's crammed with crashes, bashes and familiar characters, and young petrol-heads will love it."
98,https://www.rottentomatoes.com/m/cars_3,/m/771432063,05/03/2018,LarsenOnFilm,rotten,,1.5,...the first Pixar movie to feel tedious.
99,https://www.rottentomatoes.com/m/cars_3,/m/771432063,22/02/2018,Black Nerd Comedy,fresh,,,"It's a decent film. It's not bad, it's not good. If you have kids, it's a good family flick."
100,https://www.rottentomatoes.com/m/cars_3,/m/771432063,26/01/2018,JeremyJahns.com,rotten,,,I walked out of this movie tired.
101,https://www.rottentomatoes.com/m/cars_3,/m/771432063,16/01/2018,Family Home Theater,fresh,,B,For the first 15 minutes or so Cars 3 seems like a dash-for-the-cash affair. Then Disney does what they do best: they get viewers emotionally involved with the characters.
102,https://www.rottentomatoes.com/m/cars_3,/m/771432063,28/12/2017,CineVue,fresh,,3/5,"It's a fun film set in a vivid world with not one but two characters who, by the end, have learnt some real lessons and had some fun along the way."
103,https://www.rottentomatoes.com/m/cars_3,/m/771432063,06/12/2017,Cinema Sight,fresh,,3/4,"Pixar's sequels haven't always been up to their usual standard; however, ""Cars 3"" finally takes a step up after a thoroughly uncharacteristic predecessor."
104,https://www.rottentomatoes.com/m/cars_3,/m/771432063,05/12/2017,Flickering Myth,fresh,,3/5,"In beautiful fashion, McQueen essentially uses his ego to boost the near nonexistent confidence of Cruz and her aspirations of becoming a racer"
105,https://www.rottentomatoes.com/m/cars_3,/m/771432063,01/12/2017,Clarín,fresh,,,Cars 3... returns to roads already traveled. [Full review in Spanish]
106,https://www.rottentomatoes.com/m/cars_3,/m/771432063,20/11/2017,Starburst,fresh,,10/10,"If you think it's just another Pixar film, then you're right, it absolutely is. And that's what makes it so wonderful and so worth having."
107,https://www.rottentomatoes.com/m/cars_3,/m/771432063,20/11/2017,Culturess,fresh,,,Cars 3 is a decent reconstituted Rocky with a bizarre faux feminist subplot and beautiful animation.
108,https://www.rottentomatoes.com/m/cars_3,/m/771432063,14/11/2017,Cinemanía (Spain),rotten,,2/5,The worst installment of the worst Pixar franchise. [Full review in Spanish]
109,https://www.rottentomatoes.com/m/cars_3,/m/771432063,04/11/2017,Fresh Fiction,rotten,,C-,"It's a sparkling scenic ride with its gorgeous animation, and possibly the best of the series (yes, it's a low bar), but the story falls short of true glory."
110,https://www.rottentomatoes.com/m/cars_3,/m/771432063,20/10/2017,The Times of India,fresh,,3.5/5,"Owen Wilson is cheerful as Lightning McQueen, enough to watch him running around in circles on and off a race track."
111,https://www.rottentomatoes.com/m/cars_3,/m/771432063,05/10/2017,The Mail on Sunday (UK),rotten,,2/5,"The background animation is stunning but Brian Fee, who steps up from storyboard artist to both direct and co-write for the first time, delivers a story that too often falls flat, has too many new characters and not enough old favourites."
112,https://www.rottentomatoes.com/m/cars_3,/m/771432063,19/09/2017,The New Paper (Singapore),fresh,,3/5,"There is also much heart and humour, making this a satisfying and nostalgic last ride."
113,https://www.rottentomatoes.com/m/cars_3,/m/771432063,30/08/2017,The Straits Times (Singapore),rotten,,2.5/5,"The acceptance arrives in a too-tidy conclusion, which gives him his cake and lets him eat it too. That is, if cars could eat."
114,https://www.rottentomatoes.com/m/cars_3,/m/771432063,30/08/2017,Alternate Ending,fresh,,3/5,Cars 3 could be a lot worse. We know that. We already had Cars 2.
115,https://www.rottentomatoes.com/m/cars_3,/m/771432063,11/08/2017,Irish Times,fresh,,3/5,"Cars 3, which picks up where the first, perfectly adequate, film left off, is by far the best instalment in the series."
116,https://www.rottentomatoes.com/m/cars_3,/m/771432063,11/08/2017,3AW,fresh,,3/5,"As usual with Pixar, the film looks like a moving work of digital art, though its inordinate length might test the patience of six year olds who will love the brilliantly staged action but not all the exposition-heavy dialogue."
117,https://www.rottentomatoes.com/m/cars_3,/m/771432063,01/08/2017,"Quad City Times (Davenport, IA)",fresh,,3/4,'Cars 3' fires on all cylinders.
